User,Closeness Centrality
p4723,0.6602813277254672
p905,0.660113263754045
p2387,0.6599452853168023
p4191,0.6598613281530956
p3260,0.6597773923484588
p1426,0.6596095847837996
p2504,0.6590229299215309
p3010,0.6589392072600404
p5403,0.6586045292295611
p120,0.6579361920400086
p2289,0.6572692099027317
p2055,0.6571859322074638
p4011,0.6571026756125177
p457,0.6571026756125177
p851,0.6571026756125177
p4912,0.657019440109875
p4137,0.657019440109875
p2386,0.6569362256915215
p3153,0.6569362256915215
p3282,0.6569362256915215
p3111,0.6569362256915215
p2318,0.6569362256915215
p3109,0.6569362256915215
p4563,0.6557734332065754
p2689,0.6556905340935981
p2444,0.6555247987295303
p2519,0.6551108266431838
p3814,0.6551108266431838
p1836,0.6547800252411043
p925,0.6547800252411043
p1880,0.6546147497882764
p4547,0.6546147497882764
p1917,0.6546147497882764
p1916,0.6546147497882764
p4537,0.6545321433462563
p5388,0.6545321433462563
p2952,0.6543669929915357
p4565,0.6542844490630599
p1106,0.6542019259566637
p81,0.6536248465688878
p1430,0.653377838375941
p2971,0.6532955437933633
p4892,0.6532132699385943
p1912,0.6532132699385943
p1913,0.6532132699385943
p4626,0.6532132699385943
p1840,0.6532132699385943
p1918,0.6532132699385943
p5387,0.6532132699385943
p3813,0.6531310168038038
p2910,0.6518177781900607
p3416,0.6517358761006984
p112,0.6516539945910432
p2969,0.650917985812563
p2985,0.650917985812563
p3597,0.650917985812563
p2866,0.650917985812563
p3417,0.650917985812563
p2666,0.650917985812563
p2865,0.650917985812563
p2970,0.650917985812563
p3063,0.650917985812563
p3812,0.650917985812563
p3816,0.650917985812563
p3820,0.650917985812563
p3364,0.6504282362464616
p4865,0.6504282362464616
p2610,0.650346682959991
p85,0.6502651501219091
p88,0.6502651501219091
p1280,0.6492883482440268
p2475,0.6488822130415223
p83,0.6483144765886393
p84,0.6483144765886393
p450,0.6483144765886393
p327,0.6479905015862838
p583,0.6479095584220108
p767,0.6472627403690532
p2608,0.6472627403690532
p768,0.6472627403690532
p2097,0.6471012375955846
p4227,0.6470205164282926
p4532,0.6470205164282926
p78,0.6468591344949065
p1167,0.6468591344949065
p80,0.6468591344949065
p79,0.6468591344949065
p1242,0.6467784737137487
p1834,0.6459729709131836
p433,0.6459729709131836
p2473,0.6457317111668108
p3281,0.6456513312936338
p3161,0.6450090119937086
p3243,0.6450090119937086
p374,0.6450090119937086
p1162,0.6444480300611801
p2876,0.6441279068546921
p3559,0.6438880230832857
p419,0.6435684558530191
p3164,0.6432492056733935
p1860,0.6432492056733935
p117,0.6431694426123639
p2104,0.6427709238425439
p2645,0.6426116545806118
p5385,0.6426116545806118
p1819,0.6422933527270644
p2856,0.6422933527270644
p2399,0.6420548331927225
p1873,0.6418164907439718
p1908,0.6418164907439718
p5497,0.6415783251836735
p5391,0.6412610459229039
p569,0.6409440803147862
p3023,0.6407857149851638
p3216,0.6403901438295461
p604,0.6401530354763848
p3061,0.6397582448285425
p2459,0.6397582448285425
p5494,0.6396793451251659
p3246,0.6396793451251659
p2406,0.6396793451251659
p4886,0.6396793451251659
p299,0.6396793451251659
p3017,0.6396793451251659
p2852,0.6396793451251659
