node_id,degree
u29241,1
u28514,1
u23177,1
u28436,1
u28929,1
u20086,1
u25148,1
u28080,1
u28167,1
u26267,1
u26223,1
u23723,1
u28151,1
u27478,1
u24603,1
u23146,1
u28562,1
u26402,1
u23030,1
u29306,1
u28861,1
u23273,1
u20229,1
u28844,1
u25962,1
u28704,1
u27021,1
u23543,1
u29323,1
u20224,1
u23067,1
u17249,1
u27920,1
u27420,1
u24944,1
u24282,1
u21227,1
u26365,1
u23391,1
u29236,1
u20459,1
u17335,1
u29332,1
u28078,1
u24827,1
u25716,1
u25941,1
u27581,1
u25234,1
u29293,1
u16256,1
u25759,1
u24102,1
u26013,1
u27268,1
u21189,1
u27477,1
u26688,1
u29254,1
u28414,1
u27888,1
u21347,1
u27502,1
u28104,1
u21727,1
u22246,1
u27861,1
u17797,1
u19644,1
u26440,1
u25333,1
u27326,1
u25562,1
u23189,1
u25833,1
u28106,1
u25757,1
u29299,1
u23111,1
u26076,1
u26908,1
u26716,1
u25543,1
u25626,1
u27210,1
u23842,1
u20816,1
u25400,1
u28556,1
u23253,1
u20691,1
u26436,1
u28033,1
u21902,1
u26612,1
u20762,1
u22303,1
u28536,1
u25662,1
u25482,1
u23486,1
u29124,1
u26584,1
u21660,1
u27806,1
u26839,1
u16604,1
u17838,1
u21342,1
u26320,1
u27516,1
u29003,1
u24676,1
u27474,1
u28123,1
u28872,1
u23504,1
u24581,1
u26133,1
u28195,1
u29244,1
u24240,1
u26430,1
u20127,1
u23277,1
u22447,1
u26744,1
u20928,1
u25658,1
u15889,1
u28191,1
u27744,1
u24966,1
u12245,1
u22145,1
u23063,1
u27241,1
u24648,1
u19488,1
u28306,1
u12381,1
u24151,1
u20953,1
u25794,1
u26206,1
u28494,1
u25605,1
u27601,1
u26226,1
u23222,1
u28377,1
u28310,1
u26256,1
u25787,1
u24382,1
u24952,1
u28993,1
u26589,1
u28044,1
u18851,1
u17865,1
u28613,1
u29093,1
u23255,1
u29135,1
u27147,1
u28601,1
u24095,1
u25324,1
u23818,1
u25802,1
u25957,1
u27797,1
u26445,1
u19492,1
u27640,1
u24706,1
u24359,1
u26276,1
u25137,1
u29239,1
u24476,1
u26241,1
u29266,1
u12223,1
u15181,1
u20415,1
u27585,1
u29143,1
u25831,1
u27957,1
u16505,1
u27346,1
u23777,1
u24277,1
u25364,1
u25816,1
u28112,1
u22517,1
u25713,1
u27913,1
u22808,1
u26312,1
u25847,1
u27369,1
u24653,1
