Node,Hub Score
u25303,2.7241258083256234e-09
u22255,3.0544620943298036e-07
u14148,5.245738172789535e-07
u4534,1.0148098259330337e-06
u15965,1.0645346916363217e-07
u27871,6.7866511288566385e-09
u24147,5.428844699407259e-08
u11857,4.632644236178846e-07
u9718,1.5642998628299308e-07
u2003,1.0242230481421265e-06
u12323,4.6784529868507595e-07
u14807,4.1635996331389715e-07
u21131,1.9343342082393634e-08
u13668,5.090628165470746e-07
u18705,2.189981431403148e-07
u8497,4.7506906841970015e-07
u12829,1.304435725420937e-06
u10032,5.56274602352715e-07
u28034,1.3803329731522972e-139
u23229,4.6676921996494035e-08
u8213,1.2321051521856182e-06
u2663,3.6137099787206036e-07
u11630,1.4294446409646112e-06
u5760,7.257938390071261e-06
u15084,6.090619706163209e-07
u22705,3.380321901504507e-07
u25881,1.3803329731522972e-139
u8487,1.1264202560284198e-06
u5241,4.6343301353545753e-07
u21058,1.6515517157773813e-07
u26424,1.1579072221249146e-132
u11277,2.2639419602475837e-06
u19363,1.043252120991819e-06
u27684,2.618255981513365e-07
u26519,1.3803329731522972e-139
u29177,2.3610545992869373e-07
u25731,3.07952227239874e-07
u5667,1.5793210318152377e-06
u11649,4.883297998643137e-07
u8828,4.085813968636137e-07
u20368,3.4242176828617757e-07
u14908,4.3855530896209195e-07
u1063,4.690136444211475e-07
u14790,4.654263500797939e-07
u26813,1.762958772018759e-07
u24452,4.511491761054737e-08
u63,0.00044050354240367506
u1701,3.749463794602051e-05
u14515,3.89880334265229e-07
u26042,4.380219824234795e-09
u1423,9.610754056736734e-05
u24082,1.3803329731522972e-139
u15506,3.5463429456179127e-07
u1820,1.549898049744318e-05
u728,4.678356389326991e-07
u25021,1.3803329731522972e-139
u19943,3.1724284957570274e-07
u13036,5.050448476377144e-07
u16700,3.631275115351901e-07
u19313,3.290003483001568e-08
u26432,1.1579072221249146e-132
u11754,4.189699404700943e-08
u8951,4.490527791897578e-07
u14119,3.931023633658039e-07
u22507,2.964097935809826e-08
u10238,1.1691404455598774e-06
u18607,2.189981431403148e-07
u2008,3.4485798575709174e-07
u22153,6.792875592452866e-08
u15508,3.5463466997802595e-07
u15318,1.3821830244497786e-07
u18400,2.28351094792022e-07
u4251,3.073820800372576e-06
u343,4.623611287576362e-06
u7084,1.7406419225088884e-06
u28575,1.3803329731522972e-139
u270,5.530288593368773e-05
u25766,1.1579072221249146e-132
